"","CoreArea","variable","value"
"504","Little Mountain","sap95_5_15",69.4223475616
"505","Little Mountain","simn_0_5",31.5462178109
"506","Little Mountain","simn_5_15",31.5742232436
"507","Little Mountain","sip5_0_5",10.7229366491
"508","Little Mountain","sip5_5_15",11.8401259192
"509","Little Mountain","sip50_0_5",30.3371392869
"510","Little Mountain","sip50_5_15",30.0101751471
"511","Little Mountain","sip95_0_5",43.8868443999
"512","Little Mountain","sip95_5_15",44.0707419893
"513","Natrona 1","bdmn_0_5",1.28214523749
"514","Natrona 1","bdmn_5_15",1.30121995811
"515","Natrona 1","bdp5_0_5",1.09596095297
"516","Natrona 1","bdp5_5_15",1.10449338702
"517","Natrona 1","bdp50_0_5",1.24019348293
"518","Natrona 1","bdp50_5_15",1.26483858846
"519","Natrona 1","bdp95_0_5",1.43709393384
"520","Natrona 1","bdp95_5_15",1.44381872708
"521","Natrona 1","clmn_0_5",15.3332360946
"522","Natrona 1","clmn_5_15",17.8046133836
"523","Natrona 1","clp5_0_5",6.87203686734
"524","Natrona 1","clp5_5_15",7.66742437462
"525","Natrona 1","clp50_0_5",13.8198184949
"526","Natrona 1","clp50_5_15",16.7063341842
"527","Natrona 1","clp95_0_5",24.3286014463
"528","Natrona 1","clp95_5_15",26.1080514872
"529","Natrona 1","samn_0_5",53.7146421738
"530","Natrona 1","samn_5_15",51.7372399384
"531","Natrona 1","sap5_0_5",25.6990137955
"532","Natrona 1","sap5_5_15",25.5681396433
"533","Natrona 1","sap50_0_5",51.730003981
"534","Natrona 1","sap50_5_15",50.366538478
"535","Natrona 1","sap95_0_5",72.0159497436
"536","Natrona 1","sap95_5_15",69.6309966637
"537","Natrona 1","simn_0_5",28.8393372721
"538","Natrona 1","simn_5_15",28.0476786631
"539","Natrona 1","sip5_0_5",9.16767749539
